Feature_Name,Score
backers,10853.523191994536
main_category_Music,8368.781879890457
pledged,8238.745783001545
launched_year,7782.5345953537135
main_category_Technology,7203.109865478263
usd.pledged,6933.38343754623
main_category_Theater,5657.835172555626
currency_USD,3426.3605733901636
country_US,3426.3605733901636
currency_EUR,2654.9523753687836
main_category_Fashion,2542.629461629736
main_category_Food,2500.433948110561
currency_CAD,906.3329391600736
country_CA,906.3329391600736
country_IT,902.7590426590972
main_category_Publishing,789.6694536381013
currency_AUD,755.7954178847599
country_AU,755.7954178847599
main_category_Art,629.2559557983776
country_DE,605.9749098742055
